"groep_100","jaar","groep_titel","log_index","n_soorten","msi","msi_variant","periode","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
200,2006,"Rietvogels",6.879434771455,6,972.076758949386,"robuust","1984-2025","post",6.879434771455,6.66937243155251,0.0794690587001465,787.900987476373,674.258168237876,920.69773168433
200,2007,"Rietvogels",6.64444391784793,6,768.502578221368,"robuust","1984-2025","post",6.64444391784793,6.59302450719748,0.0793930923104054,729.985380476571,624.789033446449,852.893740419978
200,2008,"Rietvogels",6.41778031256572,6,612.641730610421,"robuust","1984-2025","post",6.41778031256572,6.51868768694907,0.0784634173473577,677.688462124924,581.086361665872,790.350078739798
200,2009,"Rietvogels",6.361831689401,6,579.306494741586,"robuust","1984-2025","post",6.361831689401,6.44855069158776,0.0769915597655927,631.785976229897,543.292166153865,734.694046090331
200,2010,"Rietvogels",6.50030605293337,6,665.345232746818,"robuust","1984-2025","post",6.50030605293337,6.38458378134999,0.075582049092004,592.638014263579,511.037495962779,687.268192109056
200,2011,"Rietvogels",6.35211978848799,6,573.707559625957,"robuust","1984-2025","post",6.35211978848799,6.32846897903609,0.0749287842761503,560.298108690847,483.769503989043,648.932948468059
200,2012,"Rietvogels",6.07065303573786,6,432.963329802277,"robuust","1984-2025","post",6.07065303573786,6.28154608309053,0.0754966463444122,534.61458375852,461.080503740629,619.876032164815
200,2013,"Rietvogels",5.85450084123598,6,348.800749642168,"robuust","1984-2025","post",5.85450084123598,6.24477610946226,0.0772438863882662,515.313838118002,442.915094826063,599.546854144111
200,2014,"Rietvogels",6.21774772697615,6,501.572281174882,"robuust","1984-2025","post",6.21774772697615,6.21872281195318,0.0795905345165909,502.061595293804,429.544508331394,586.821250370847
200,2015,"Rietvogels",6.23528247745028,6,510.444787227122,"robuust","1984-2025","post",6.23528247745028,6.20355204671237,0.0816606116820532,494.502420904657,421.364075683477,580.335767551897
200,2016,"Rietvogels",6.19281671490859,6,489.222166690151,"robuust","1984-2025","post",6.19281671490859,6.19904802966849,0.0826307140390306,492.280181830718,418.673688515783,578.827339932418
200,2017,"Rietvogels",6.0727557926771,6,433.874704312183,"robuust","1984-2025","post",6.0727557926771,6.20464502824106,0.082041504658936,495.043198392662,421.510074673307,581.404296124541
200,2018,"Rietvogels",6.17690845386065,6,481.501070193911,"robuust","1984-2025","post",6.17690845386065,6.21947275024419,0.0800536848965088,502.438251725449,429.476715899723,587.794838348972
200,2019,"Rietvogels",6.50195222630879,6,666.441408354435,"robuust","1984-2025","post",6.50195222630879,6.24241364000032,0.0776712922510994,514.097861831116,441.499950174146,598.633389279151
200,2020,"Rietvogels",6.42963800725947,6,619.949490174172,"robuust","1984-2025","post",6.42963800725947,6.27217043938793,0.0768331032908727,529.625651672823,455.582835759528,615.702148748031
200,2021,"Rietvogels",6.39746004728182,6,600.31831964905,"robuust","1984-2025","post",6.39746004728182,6.30734267712791,0.0799830595591705,548.585242103854,468.987389672047,641.692664838151
200,2022,"Rietvogels",6.29487639767691,6,541.788875890644,"robuust","1984-2025","post",6.29487639767691,6.34651115768101,0.0888503015960063,570.498852371304,479.31814682713,679.024866284394
200,2023,"Rietvogels",6.48129092900274,6,652.813137962539,"robuust","1984-2025","post",6.48129092900274,6.38832996975211,0.103446845634118,594.862311636477,485.691744606635,728.571514206171
200,2024,"Rietvogels",6.27833062609986,6,532.898314331855,"robuust","1984-2025","post",6.27833062609986,6.43162596148092,0.122481576141885,621.183147200816,488.608752575008,789.729001645494
200,2025,"Rietvogels",6.48195067384632,6,653.243970168164,"robuust","1984-2025","post",6.48195067384632,6.47550597864038,0.14440638825477,649.047548738385,489.052310240745,861.385810274429
