"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg","trendduiding_type","model"
188,12510,"Kleine Karekiet","reed warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-5.31881688129095,4.75481991952386e-13,0.891048599641845,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
189,12530,"Grote Karekiet","Great Reed Warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.88585376814877,0.81785211716799,0.0206075194831574,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
190,12590,"Spotvogel","Icterine Warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-7.9226518270671,0.0170879580475712,0.252768868452295,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
192,12740,"Braamsluiper","lesser whitethroat","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,0.207654425184134,0.647851814878476,0.00883599772859764,"stabiel","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
193,12750,"Grasmus","whitethroat","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-2.50939090557261,2.91902253107903e-09,0.775804972042058,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
194,12760,"Tuinfluiter","garden warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,4.06603574171618,1.6636110392973e-09,0.785962220488832,"matige toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
195,12770,"Zwartkop","blackcap","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,3.43302869647366,1.55747721055698e-10,0.823985780958162,"matige toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
197,13080,"Fluiter","Wood Warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.06512155229384,0.479536176797317,0.0363252557225639,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
198,13110,"Tjiftjaf","Common Chiffchaff","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.04884239356204,0.028830252048688,0.183875407809592,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
200,13120,"Fitis","willow warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.39637637577439,2.56594375093876e-13,0.896483479858346,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
