"jaar","groep_100","soort_id","soort_naam","territoria","surveyed_km2","density_per_km2","periode","index_raw","bridge_factor","index_spliced","log_index_spliced"
1992,700,200,"Fitis",605,6.1308353,98.681496141317,"1984-2025",116.184834999438,1.090799001896,126.73430205284,4.84209278511955
1993,600,200,"Fitis",658,6.1308353,107.326321423118,"1984-2025",126.363010627488,1.090799001896,137.836645869039,4.92606925841402
1993,700,200,"Fitis",658,6.1308353,107.326321423118,"1984-2025",126.363010627488,1.090799001896,137.836645869039,4.92606925841402
1994,600,200,"Fitis",649,6.1308353,105.858332224322,"1984-2025",124.634641181216,1.090799001896,135.951342202137,4.9122970437928
1994,700,200,"Fitis",649,6.1308353,105.858332224322,"1984-2025",124.634641181216,1.090799001896,135.951342202137,4.9122970437928
1995,600,200,"Fitis",668,6.09164596,109.658375484448,"1984-2025",129.108705888709,1.090799001896,140.831647519488,4.94756518778165
1995,700,200,"Fitis",668,6.09164596,109.658375484448,"1984-2025",129.108705888709,1.090799001896,140.831647519488,4.94756518778165
1996,600,200,"Fitis",647,6.44975091,100.313951504214,"1984-2025",118.106842309811,1.090799001896,128.830825708631,4.85850011507134
1996,700,200,"Fitis",647,6.44975091,100.313951504214,"1984-2025",118.106842309811,1.090799001896,128.830825708631,4.85850011507134
1997,600,200,"Fitis",608,6.09164596,99.808820800216,"1984-2025",117.512115539424,1.090799001896,128.182098341091,4.85345189621117
1997,700,200,"Fitis",608,6.09164596,99.808820800216,"1984-2025",117.512115539424,1.090799001896,128.182098341091,4.85345189621117
1998,600,200,"Fitis",490,5.62796272,87.0652533391337,"1984-2025",102.508195446342,1.090799001896,111.81583727903,4.71685320792497
1998,700,200,"Fitis",490,5.62796272,87.0652533391337,"1984-2025",102.508195446342,1.090799001896,111.81583727903,4.71685320792497
1999,600,200,"Fitis",515,6.09164596,84.5420110396567,"1984-2025",99.5374004980315,1.090799001896,108.575297114576,4.68744391490874
1999,700,200,"Fitis",515,6.09164596,84.5420110396567,"1984-2025",99.5374004980315,1.090799001896,108.575297114576,4.68744391490874
2000,600,200,"Fitis",472,5.70172844,82.7819151625538,"1984-2025",97.4651128143147,1.090799001896,106.314847777536,4.66640495365155
2000,700,200,"Fitis",472,5.70172844,82.7819151625538,"1984-2025",97.4651128143147,1.090799001896,106.314847777536,4.66640495365155
2001,600,200,"Fitis",566,6.44975091,87.7553269727745,"1984-2025",103.320668852169,1.090799001896,112.702082459173,4.72474789877363
2001,700,200,"Fitis",566,6.44975091,87.7553269727745,"1984-2025",103.320668852169,1.090799001896,112.702082459173,4.72474789877363
2002,600,200,"Fitis",435,6.09164596,71.4092714606809,"1984-2025",84.0752800323179,1.090799001896,91.7092315433794,4.51862304533369
2002,700,200,"Fitis",435,6.09164596,71.4092714606809,"1984-2025",84.0752800323179,1.090799001896,91.7092315433794,4.51862304533369
2003,600,200,"Fitis",467,6.2141484,75.1510858672123,"1984-2025",88.4807877153267,1.090799001896,96.5147549268506,4.56969589745318
2003,700,200,"Fitis",467,6.2141484,75.1510858672123,"1984-2025",88.4807877153267,1.090799001896,96.5147549268506,4.56969589745318
2004,600,200,"Fitis",538,6.2141484,86.5766256885658,"1984-2025",101.932898909734,1.090799001896,111.188304391104,4.71122519994607
2004,700,200,"Fitis",538,6.2141484,86.5766256885658,"1984-2025",101.932898909734,1.090799001896,111.188304391104,4.71122519994607
2005,600,200,"Fitis",515,6.2141484,82.8753944788316,"1984-2025",97.5751727481654,1.090799001896,106.434901043529,4.66753354044802
2005,700,200,"Fitis",515,6.2141484,82.8753944788316,"1984-2025",97.5751727481654,1.090799001896,106.434901043529,4.66753354044802
2006,600,200,"Fitis",408,5.65793112,72.1111641952969,"1984-2025",84.90166891724,1.090799001896,92.6106557142304,4.52840420753969
2006,700,200,"Fitis",408,5.65793112,72.1111641952969,"1984-2025",84.90166891724,1.090799001896,92.6106557142304,4.52840420753969
2007,600,200,"Fitis",450,6.1308353,73.3994599398225,"1984-2025",86.4184723136319,1.090799001896,94.2651833450872,4.54611190985307
2007,700,200,"Fitis",450,6.1308353,73.3994599398225,"1984-2025",86.4184723136319,1.090799001896,94.2651833450872,4.54611190985307
2008,600,200,"Fitis",445,6.02064405,73.9123582633988,"1984-2025",87.0223444621739,1.090799001896,94.9238864819896,4.55307537554592
2008,700,200,"Fitis",445,6.02064405,73.9123582633988,"1984-2025",87.0223444621739,1.090799001896,94.9238864819896,4.55307537554592
2009,600,200,"Fitis",421,5.98606767,70.3299767408076,"1984-2025",82.8045485999055,1.090799001896,90.3231189652262,4.50339345163254
2009,700,200,"Fitis",421,5.98606767,70.3299767408076,"1984-2025",82.8045485999055,1.090799001896,90.3231189652262,4.50339345163254
2010,600,200,"Fitis",482,6.44975091,74.7315681994299,"1984-2025",87.9868593405395,1.090799001896,95.9759783486247,4.56409793462104
2010,700,200,"Fitis",482,6.44975091,74.7315681994299,"1984-2025",87.9868593405395,1.090799001896,95.9759783486247,4.56409793462104
2011,600,200,"Fitis",451,6.44975091,69.9251810330765,"1984-2025",82.327953449343,1.090799001896,89.803249450684,4.49762116007312
2011,700,200,"Fitis",451,6.44975091,69.9251810330765,"1984-2025",82.327953449343,1.090799001896,89.803249450684,4.49762116007312
2012,600,200,"Fitis",382,6.44975091,59.2270934692577,"1984-2025",69.7323242076475,1.090799001896,76.0639496455905,4.33157442917702
2012,700,200,"Fitis",382,6.44975091,59.2270934692577,"1984-2025",69.7323242076475,1.090799001896,76.0639496455905,4.33157442917702
2013,600,200,"Fitis",401,6.44975091,62.1729436679904,"1984-2025",73.200685882897,1.090799001896,79.847235099167,4.38011524787701
2013,700,200,"Fitis",401,6.44975091,62.1729436679904,"1984-2025",73.200685882897,1.090799001896,79.847235099167,4.38011524787701
2014,600,200,"Fitis",386,6.44975091,59.8472724584646,"1984-2025",70.4625056129632,1.090799001896,76.8604307937118,4.34199119003527
2014,700,200,"Fitis",386,6.44975091,59.8472724584646,"1984-2025",70.4625056129632,1.090799001896,76.8604307937118,4.34199119003527
2015,600,200,"Fitis",402,6.57225335,61.1662360824846,"1984-2025",72.0154165133772,1.090799001896,78.5543444539169,4.36379067130608
2015,700,200,"Fitis",402,6.57225335,61.1662360824846,"1984-2025",72.0154165133772,1.090799001896,78.5543444539169,4.36379067130608
2016,600,200,"Fitis",356,6.44975091,55.195930039413,"1984-2025",64.9861450730956,1.090799001896,70.8868221828016,4.26108455142247
2016,700,200,"Fitis",356,6.44975091,55.195930039413,"1984-2025",64.9861450730956,1.090799001896,70.8868221828016,4.26108455142247
2017,600,200,"Fitis",364,6.57225335,55.3843530697124,"1984-2025",65.2079890817645,1.090799001896,71.1288094060342,4.2644924503238
2017,700,200,"Fitis",364,6.57225335,55.3843530697124,"1984-2025",65.2079890817645,1.090799001896,71.1288094060342,4.2644924503238
2018,600,200,"Fitis",283,6.57225335,43.0598129635401,"1984-2025",50.6974200828004,1.090799001896,55.3006952250211,4.0127854803303
2018,700,200,"Fitis",283,6.57225335,43.0598129635401,"1984-2025",50.6974200828004,1.090799001896,55.3006952250211,4.0127854803303
2019,600,200,"Fitis",338,6.10857011,55.332098005502,"1984-2025",65.146465429909,1.090799001896,71.0616994679973,4.26354850626521
2019,700,200,"Fitis",338,6.10857011,55.332098005502,"1984-2025",65.146465429909,1.090799001896,71.0616994679973,4.26354850626521
2020,600,200,"Fitis",345,6.44975091,53.490437819094,"1984-2025",62.9781462084774,1.090799001896,68.6964990254678,4.2296982376018
2020,700,200,"Fitis",345,6.44975091,53.490437819094,"1984-2025",62.9781462084774,1.090799001896,68.6964990254678,4.2296982376018
2021,600,200,"Fitis",298,6.57225335,45.3421352054239,"1984-2025",53.384562490016,1.090799001896,58.2318274807643,4.06443206919246
2021,700,200,"Fitis",298,6.57225335,45.3421352054239,"1984-2025",53.384562490016,1.090799001896,58.2318274807643,4.06443206919246
2022,600,200,"Fitis",278,6.14314649,45.2536823682354,"1984-2025",53.2804205921341,1.090799001896,58.1182296024992,4.0624793771662
2022,700,200,"Fitis",278,6.14314649,45.2536823682354,"1984-2025",53.2804205921341,1.090799001896,58.1182296024992,4.0624793771662
2023,600,200,"Fitis",329,6.57225335,50.058934505317,"1984-2025",58.9379901315948,1.090799001896,64.2895008093002,4.16339633345243
2023,700,200,"Fitis",329,6.57225335,50.058934505317,"1984-2025",58.9379901315948,1.090799001896,64.2895008093002,4.16339633345243
2024,600,200,"Fitis",352,6.57225335,53.5584952762054,"1984-2025",63.058275155992,1.090799001896,68.7839036014397,4.23096975828516
2024,700,200,"Fitis",352,6.57225335,53.5584952762054,"1984-2025",63.058275155992,1.090799001896,68.7839036014397,4.23096975828516
2025,600,200,"Fitis",341,6.57225335,51.884792298824,"1984-2025",61.0877040573672,1.090799001896,66.6344066138947,4.19922105997058
2025,700,200,"Fitis",341,6.57225335,51.884792298824,"1984-2025",61.0877040573672,1.090799001896,66.6344066138947,4.19922105997058
1959,600,207,"Staartmees",1,5.0372,0.198522988962122,"1958-1983",14.1874571333617,3.5620449924811,14.1874571333617,2.65235827379999
1960,600,207,"Staartmees",1,5.022,0.199123855037834,"1958-1983",14.2303980629569,3.5620449924811,14.2303980629569,2.65538038521415
1961,600,207,"Staartmees",2,5.002,0.39984006397441,"1958-1983",28.5745937913512,3.5620449924811,28.5745937913512,3.35251799405407
1962,600,207,"Staartmees",1,5.002,0.199920031987205,"1958-1983",14.2872968956756,3.5620449924811,14.2872968956756,2.65937081349412
1963,600,207,"Staartmees",1,5.2472,0.190577831986583,"1958-1983",13.6196560207671,3.5620449924811,13.6196560207671,2.61151404495216
1964,600,207,"Staartmees",2,5.3272,0.375431746508485,"1958-1983",26.8302519417966,3.5620449924811,26.8302519417966,3.28953005469522
