SUBNHLVOLG,SUBNHLCODE,SUBNHLOMS,GROEPNR,GROEPNAAM,REFERENTIE,ONDERGRENS,REF_KLAS,ONDER_KLAS
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",803.0,Appelvink-groep,17.0299,5.6199,19.5,6.435
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",804.0,Grote Bonte Specht-groep,61.034,20.1412,63.2,20.856
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",805.0,Kleine Bonte Specht-groep,21.5828,7.1223,24.75,8.1675
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",806.0,Boomklever-groep,13.6682,4.5105,13.5,4.455
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",807.0,Havik-groep,2.5948,0.8563,3.0,0.99
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",808.0,Torenvalk-groep,0.6703,0.2212,0.4,0.132
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",811.0,Loofhoutvogels,52.2809,17.2527,57.75,19.0575
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",812.0,Holenbroeders,96.285,31.7741,101.45,33.4785
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",813.0,Vogels van oud bos,113.3149,37.3939,120.95,39.9135
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",901.0,Zwarte Roodstaart-groep,8.4542,2.7899,9.2,3.036
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",911.0,Rode Lijst soorten,3.0293,0.9997,3.05,1.0065
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",921.0,Roofvogels,3.265,1.0775,3.4,1.122
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",999.0,Overige soorten,2.8089,0.9269,3.0,0.99
60.0,13.4,Grove dennen-Eikenbos op zandgrond met cultuur-invloed,200.0,Rietvogels,0.473,0.1561,0.2,0.066
60.0,13.4,Grove dennen-Eikenbos op zandgrond met cultuur-invloed,204.0,Blauwborst-groep,0.473,0.1561,0.2,0.066
60.0,13.4,Grove dennen-Eikenbos op zandgrond met cultuur-invloed,600.0,Struweelvogels,30.363,10.0198,31.15,10.2795
60.0,13.4,Grove dennen-Eikenbos op zandgrond met cultuur-invloed,601.0,Rietgors-groep,0.473,0.1561,0.2,0.066
60.0,13.4,Grove dennen-Eikenbos op zandgrond met cultuur-invloed,602.0,Roodborsttapuit-groep,1.0281,0.3393,1.5,0.495
60.0,13.4,Grove dennen-Eikenbos op zandgrond met cultuur-invloed,603.0,Grasmus-groep,2.0172,0.6657,2.45,0.8085
